DATE,Closure Type
4/17/61,closed
12/9/77,closed
1/9/78,closed
1/10/78,closed
1/26/78,closed
1/30/78,closed
12/20/78,closed
1/3/79,closed
1/4/79,closed
1/5/79,closed
1/9/79,closed
1/15/79,closed
1/16/79,closed
2/3/81,closed
2/10/81,closed
2/11/81,closed
2/12/81,closed
11/20/81,closed
1/11/82,closed
1/18/82,closed
1/25/82,closed
2/2/83,closed
3/21/83,closed
12/12/83,closed
1/4/84,closed
1/21/85,closed
1/22/85,closed
2/11/85,delayed
2/12/85,closed
2/13/85,closed
2/14/85,closed
2/15/85,closed
2/18/85,closed
3/4/85,closed
1/6/86,closed
1/10/86,delayed
2/4/86,closed
12/15/87,closed
2/15/90,closed
2/23/90,delayed
2/5/91,delayed
2/19/92,delayed
5/6/93,delayed
1/17/94,closed
1/18/94,closed
1/19/94,closed
1/20/94,closed
1/27/94,closed
1/28/94,closed
2/3/94,delayed
2/4/94,closed
3/3/94,delayed
1/12/95,delayed
1/13/95,delayed
2/27/95,closed
3/7/95,closed
12/14/95,closed
2/5/96,closed
12/20/96,closed
1/16/97,closed
1/17/97,closed
2/4/97,closed
3/14/97,closed
3/10/98,closed
1/4/99,closed
1/5/99,closed
1/7/99,closed
1/11/99,closed
1/13/99,delayed
1/18/99,delayed
2/18/00,closed
11/21/00,closed
12/11/00,early dismissal
12/12/00,closed
1/31/02,closed
2/1/02,closed
2/12/03,closed
3/5/03,closed
1/7/04,closed
1/22/04,closed
1/28/04,closed
1/29/04,delayed
12/13/04,closed
1/6/05,closed
1/19/05,closed
12/9/05,closed
12/1/06,closed
2/5/07,closed
2/6/07,closed
1/11/08,delayed
1/22/08,closed
1/30/08,closed
2/7/08,closed
2/11/08,closed
2/19/08,closed
12/19/08,closed
12/9/09,closed
12/10/09,closed
2/10/10,closed
2/2/11,closed
2/3/11,closed
2/24/12,closed
3/16/12,delayed
1/22/13,closed
1/28/13,closed
2/1/13,closed
2/11/13,closed
2/19/13,closed
12/20/13,closed
1/6/14,closed
1/7/14,closed
1/24/14,closed
1/27/14,closed
1/28/14,closed
1/29/14,closed
2/18/14,closed
2/27/14,closed
2/28/14,delayed
11/18/14,closed
11/20/14,closed
1/8/15,closed
1/9/15,closed
1/29/15,closed
2/2/15,closed
2/18/15,closed
2/20/15,closed
1/12/16,closed
2/10/16,closed
2/25/16,closed
3/1/16,closed
12/12/16,closed
1/12/17,closed
1/17/17,closed
3/2/17,delayed
12/12/17,closed
2/9/18,closed
4/16/18,closed
11/26/18,closed
1/21/19,closed
1/23/19,delayed
1/25/19,closed
1/28/19,closed
1/29/19,closed
1/30/19,closed
1/31/19,closed
2/1/19,closed
2/6/19,delayed
2/7/19,closed
2/12/19,closed
3/5/19,closed
11/12/19,closed
1/26/21,closed
2/5/21,closed
2/16/21,closed